"DateTime","PZH01_MST_0055_01"
"2024-01-01 00:00:00",59.567330688700004
"2024-01-01 01:00:00",61.2034858816
"2024-01-01 02:00:00",61.720658632500005
"2024-01-01 03:00:00",62.56329192729999
"2024-01-01 04:00:00",65.1894983014
"2024-01-01 05:00:00",62.810395371999995
"2024-01-01 06:00:00",62.7541073835
"2024-01-01 07:00:00",62.31753765850001
"2024-01-01 08:00:00",59.63043878199999
"2024-01-01 09:00:00",61.504485344299994
"2024-01-01 10:00:00",61.260204123
"2024-01-01 11:00:00",61.4443857737
"2024-01-01 12:00:00",59.981861511599995
"2024-01-01 13:00:00",58.7823068077
"2024-01-01 14:00:00",59.81008787030001
"2024-01-01 15:00:00",60.3898316636
"2024-01-01 16:00:00",60.7927729339
"2024-01-01 17:00:00",62.0850037739
"2024-01-01 18:00:00",61.3090424306
"2024-01-01 19:00:00",61.992323902
"2024-01-01 20:00:00",61.596353648
"2024-01-01 21:00:00",63.67012226400001
"2024-01-01 22:00:00",63.4530802188
"2024-01-01 23:00:00",64.1762262955
"2024-01-02 00:00:00",60.99587185080001
"2024-01-02 01:00:00",68.0684813903
"2024-01-02 02:00:00",63.9313618906
"2024-01-02 03:00:00",65.2055564652
"2024-01-02 04:00:00",60.113481268099996
"2024-01-02 05:00:00",61.178725615
"2024-01-02 06:00:00",59.8270794434
"2024-01-02 07:00:00",59.3506696103
"2024-01-02 08:00:00",59.710916843599996
"2024-01-02 09:00:00",57.757567590200004
"2024-01-02 10:00:00",59.042514217
"2024-01-02 11:00:00",59.189470373400006
"2024-01-02 12:00:00",58.4183106269
"2024-01-02 13:00:00",59.6901077321
"2024-01-02 14:00:00",58.8395984884
"2024-01-02 15:00:00",59.7303169696
"2024-01-02 16:00:00",59.14839004470001
"2024-01-02 17:00:00",58.795977983700006
"2024-01-02 18:00:00",60.4292268792
"2024-01-02 19:00:00",62.5610431106
"2024-01-02 20:00:00",61.5805488263
"2024-01-02 21:00:00",62.41137305569999
"2024-01-02 22:00:00",61.79284288510001
"2024-01-02 23:00:00",61.4449411787
"2024-01-03 00:00:00",66.6143409857
"2024-01-03 01:00:00",61.295141284699994
"2024-01-03 02:00:00",63.2677906923
"2024-01-03 03:00:00",61.051970454
"2024-01-03 04:00:00",60.7971724394
"2024-01-03 05:00:00",61.544812930400006
"2024-01-03 06:00:00",58.6295811723
"2024-01-03 07:00:00",59.62451101440001
"2024-01-03 08:00:00",58.8406524345
"2024-01-03 09:00:00",59.287577096599996
"2024-01-03 10:00:00",59.13527900540001
"2024-01-03 11:00:00",59.0141591133
"2024-01-03 12:00:00",57.392712911
"2024-01-03 13:00:00",57.7900783459
"2024-01-03 14:00:00",57.6407745302
"2024-01-03 15:00:00",58.3740357216
"2024-01-03 16:00:00",57.3351923764
"2024-01-03 17:00:00",60.257241675900005
"2024-01-03 18:00:00",60.92869915679999
"2024-01-03 19:00:00",59.91555660809999
"2024-01-03 20:00:00",60.829439213300006
"2024-01-03 21:00:00",62.0941818267
"2024-01-03 22:00:00",64.7252506068
"2024-01-03 23:00:00",63.5032118064
"2024-01-04 00:00:00",64.6770140583
"2024-01-04 01:00:00",64.0241508928
"2024-01-04 02:00:00",65.7794255966
"2024-01-04 03:00:00",62.5418125138
"2024-01-04 04:00:00",61.9385370941
"2024-01-04 05:00:00",59.9458763741
"2024-01-04 06:00:00",58.35614544620001
"2024-01-04 07:00:00",59.3474108252
"2024-01-04 08:00:00",58.0546348696
"2024-01-04 09:00:00",59.23522526720001
"2024-01-04 10:00:00",57.20920330509999
"2024-01-04 11:00:00",60.1642615749
"2024-01-04 12:00:00",58.009796306999995
"2024-01-04 13:00:00",57.8591877052
"2024-01-04 14:00:00",58.9723999609
"2024-01-04 15:00:00",60.266519943999995
"2024-01-04 16:00:00",59.6649032564
"2024-01-04 17:00:00",60.8950177701
"2024-01-04 18:00:00",60.3042421994
"2024-01-04 19:00:00",62.316779133400004
"2024-01-04 20:00:00",63.3768951871
